 City,Time,Polity,Region,Population (low),Population (high),Population,Area (ha),log N,log A,Density,Sources
Cahokia,1100 CE,Cahokia,North America,10000,16000,13000,445,4.113943352,2.648360011,29,"Milner, George R. 1998. The Cahokia Chiefdom: The Archaeology of a Mississippian Society. Washington, DC: Smithsonian Institution Press, pp. 122-4 (A); Pauketat, Timothy R. 2009. Cahokia: Ancient America’s Great City on the Mississippi. New York: Penguin, p. 26 (N)"
Cairo I,969-1171 CE,Fatimid Egypt,Mediterranean,120000,300000,210000,300,5.322219295,2.477121255,700,"Raymond, André. 2000. Cairo. Cambridge: Harvard University Press, p. 62."
Cairo II,1412-1517 CE,Mamluk Empire,Mediterranean,150000,200000,175000,450,5.243038049,2.653212514,389,"Raymond, André. 1984. “Cairo’s Area and Population in the Early Fifteenth Century.” Muqarnas 2:21–31, p. 30. "
Chang'an,600-870 CE,Tang China,China,1000000,1000000,1000000,8075,6,3.907142531,124,"Lewis, Mark E. 2009. China’s Cosmopolitan Empire: The Tang Dynasty. Cambridge: Harvard University Press: 87 (A); Xiong, Victor. 2000. Sui-Tang Chang’an: A Study in the Urban History of Late Medieval China. Ann Arbor: Center for Chinese Studies, University of Michigan: 198 (N)."
Constantinople I,300-400 CE,Byzantium/Eastern Roman Empire,Mediterranean,25000,150000,87500,600,4.942008053,2.77815125,146,"Randsborg, Klavs. 1991. The First Millennium AD in Europe and the Mediterranean: An Archaeological Essay. New York: Cambridge University Press. p. 92 (A). Berger, Albrecht. 2022. “Urban Development and Decline, Fourth-Fifteenth Centuries.” In The Cambridge Companion to Constantinople, edited by Sarah Bassett, 33–49. New York: Cambridge University Press. p. 50 (N). Lee, Alan Douglas. 2013. From Rome to Byzantium AD 363 to 565: The Transformation of Ancient Rome. Edinburgh: Edinburgh University Press. p. 76 (N)."
Constantinople II,400-500 CE,Byzantium/Eastern Roman Empire,Mediterranean,150000,600000,375000,1270,5.574031268,3.103803721,295,"Lee, Alan Douglas. 2013. From Rome to Byzantium AD 363 to 565: The Transformation of Ancient Rome. Edinburgh: Edinburgh University Press: 73-76 (N). Kaldellis, Anthony. 2023. The New Roman Empire: A History of Byzantium. Oxford University Press. p. 21 (N). Berger, Albrecht. 2022. “Urban Development and Decline, Fourth-Fifteenth Centuries.” In The Cambridge Companion to Constantinople, edited by Sarah Bassett, 33–49. New York: Cambridge University Press, p. 40 (A). Jones, A. H. M. 1964. The Later Roman Empire 284--602: A Social, Economic, and Administrative Survey. 3 vols. Basil Blackwell. p. 698 estimates that the grain shipments from Egypt would feed 600k (N); and Wickham, Chris. 2005. Framing the Early Middle Ages: Europe and the Mediterranean, 400-800. New York: Oxford University Press, 2005. p. 73 gives a range of 300-600k."
Constantinpole III (Istanbul),1535-1886 CE,Ottoman Empire,Mediterranean,400000,850000,625000,2300,5.795880017,3.361727836,272,"Population range from census data in  Freely, John. 1998. Istanbul: The Imperial City. New York: Penguin, pp. 202, 248. Area from Dark, Ken, and Ferudun Özgümüş. 2013. Constantinople: Archaeology of a Byzantine Megapolis. Oxford: Oxbow Books, p. 3."
Cordoba,1000 CE,Umayyad dynasty of Cordova,Mediterranean,90000,100000,95000,246,4.977723605,2.390935107,386,"Glick, Thomas. 1979. Islamic and Christian Spain in the Early Middle Ages. Princeton: Princeton  University Press, p. 113 (N). Area is taken from a map created by UNESCO available at https://whc.unesco.org/en/list/313/documents/."
Ctesiphon,41-487 CE,Parthian/Sasanid Empires,Near East,400000,600000,500000,3000,5.698970004,3.477121255,167,"Pourshariati, Parvaneh. 2022. “Ctesiphon and Its Surroundings, Precursors of Baghdād.” In Baghdād: From Its Beginnings to the 14th Century, 111–42. Boston: Brill, p 112 (A). There are three convergent historical accounts relating to population: Ling-hu Te-fen (100k households = 500k) in the late sixth century (See Miller, Roy Andrew. 1959. Accounts of Western Nations in the History of the Northern Chou Dynasty. Los Angeles: University of California Press. pp. 13, 37n102), Pliny (1st cen CE, 600k), and Orosius (400k, mid 2nd century) see Cohen, Getzel M. The Hellenistic Settlements in the East from Armenia and Mesopotamia to Bactria and India. Los Angeles: University of California Press, 2013, p. 186."
Cuzco,1400-1536,Inka,South America,100000,150000,125000,1000,5.096910013,3,125,"D’Altroy, Terence N. 2015. The Incas. 2nd ed. Malden, MA: Blackwell, p. 203 (N), A estimated using Fig 7.1, p. 199."
Delhi,1650-1682 CE,Mughal India,India,400000,500000,450000,2590,5.653212514,3.413299764,174,"Asher, Catherine B, and Cynthia Talbot. 2022. India Before Europe. 2nd ed. New York: Cambridge University Press. p. 341 (N). Habib, Irfan. 1982. “Population.” In The Cambridge Economic History of India, Volume I: C. 1200-c.1750, edited by Tapan Raychaudhuri and Irfan Habib, 163–71. New York: Cambridge University Press. p. 171 (N). Keay, John. 2000. India: A History. London: HarperCollins. p. 335 (N, A)."
Edo/Tokyo,1800-1900 CE,Tokugawa/Meiji Japan,China,,,1000000,3100,6,3.491361694,323,"Jansen, Marius. 1989. “Japan in the Early Nineteenth Century.” In The Cambridge History of Japan. Volume 5: The Nineteenth Century, edited by Marius Jansen, 50–115. New York: Cambridge University Press, p. 63 (N). A estimated using 1896 map at https://en.wikipedia.org/wiki/File:Tokio1896.jpg"
Erlitou,1900-1500 BCE,Erlitou,China,18000,30000,24000,300,4.380211242,2.477121255,80,"Liu, Li, and Xingcan Chen. 2012. The Archaeology of China: From the Late Paleolithic to the Early Bronze Age. New York: Cambridge University Press: 266-70."
Great Zimbabwe,1600-1700 CE,Zimbabwe,Sub-Saharran Africa,10000,18000,14000,100,4.146128036,2,140,"Kusimba, Chapurukha. 2008. “Early African Cities: Their Role in Shaping the Urban and Rural Interaction Spheres.” In The Ancient City: New Perspectives on Urbanism in the Old and New World, edited by Joyce Marcus and Jeremy A. Sabloff, 229–46. Santa Fe: School for Advanced Research, p. 235."
Hangzhou,1129-1279 CE,Southern Song,China,800000,1200000,1000000,1350,6,3.130333768,741,"See range of population estimates given by Bairoch, Kuhn, Skinner, and other in Morris, Ian. 2013. The Measure of Civilization: How Social Development Decides the Fate of Nations. Princeton, NJ: Princeton University Press, pp. 156-7. Area estimated from Map 9, p. 206 in Kuhn, Dieter. 2011. The Age of Confucian Rule: The Song Transformation of China. Cambridge: Harvard University Press."
Hattusa,1400-1180 BCE,Hittite Empire,Near East,9000,15000,12000,181,4.079181246,2.257678575,66,"Mielke, Dirk Paul. 2011. “Hittite Cities: Looking for a Concept.” In Insights into Hittite History and Archaeology, edited by Hermann Genz and Dirk Paul Mielke, 153–94. Leuven: Peeters. pp. 183-4. "
Heijō-kyō,700-800 CE,Nara (Japan),China,,,200000,2000,5.301029996,3.301029996,100,"Kojiro, Naoki. 1993. “The Nara State.” In The Cambridge History of Japan, Volume 1: Ancient Japan, edited by John W. Hall, Marius B. Jansen, Madoka Kanai, and Denis Twitchett, 221–67. New York: Cambridge University Press. p. 244 (N, A). Area given as 1/4 of Chang'an ~ 2000ha."
Hierakonpolis,3000 BCE,Hierakonpolis,Mediterranean,5000,10000,7500,34.5,3.875061263,1.537819095,217,"Hoffman, Michael A., Hany A. Hamroush, and Ralph O. Allen. 1986. “A Model of Urban Development for the Hierakonpolis Region from Predynastic through Old Kingdom Times.” Journal of the American Research Center in Egypt 23:175–87."
Jenne-Jeno,500-1000 CE,Jenne-Jeno,Sub-Saharran Africa,15183,26724,20953.5,98.7,4.321256576,1.994317153,212,"Kusimba, Chapurukha, Sibel Barut Kusimba, and Babatunde Agbaje-Williams. 2006. “Precolonial African Cities.” In Urbanism in the Preindustrial World: Cross-Cultural Approaches, edited by Glenn R Storey, 147–58. Tuscaloosa: University of Alabama Press. Table 8-3, p. 152."
Jiankang,313-589 CE,Eastern Jin/Southern Dynasties China,China,500000,825000,662500,2387,5.821185883,3.377852419,278,"Chittick, Andrew. 2020. The Jiankang Empire in Chinese and World History. New York: Oxford University Press: 360 (N); Steinhardt, Nancy Shatzman. 1999. Chinese Imperial City Planning. Honolulu: University of Hawaii Press: 190-1 note 3: (A, square layout with walls of perimeter 47 li * .4158 km/li [https://en.wikipedia.org/wiki/Li_(unit)] = 19.54 km; (19.54/4)^2 = 23.87 km sq)."
Kaifeng,976-1103 CE,Northern Song,China,890000,1300000,1095000,8400,6.039414119,3.924279286,130,"Kuhn, Dieter. 2011. The Age of Confucian Rule: The Song Transformation of China. Cambridge: Harvard University Press. p. 195."
Knossos,1450-1300 BCE,Minoan Crete,Mediterranean,14000,18000,16000,70,4.204119983,1.84509804,229,"Whitelaw, Todd. 2004. “Estimating the Population of Neopalatial Knossos.” In Knossos: Palace, City, State, edited by G. Cadogan, E. Hatzaki, and A. Vasilaki, 147–58. London: British School at Athens Studies."
Kultepe/Kanesh,2050-1500 BCE,Kanesh (Anatolia),Near East,,,25000,170,4.397940009,2.230448921,147,"Barjamovic, Gojko. 2014. “The Size of Kanesh and the Demography of Early Middle Bronze Age Anatolia.” In Current Research at Kültepe/Kanesh: An Interdisciplinary and Integrative Approach to Trade Networks, Internationalism, and Identity, edited by Levent Atici, Fikri Kulakoglu, Andrew Fairbairn, and Gojko Barjamovic, 55–68. Exeter: University of Exeter Press."
Kyoto,794-1185 CE,Heian Japan,China,70000,150000,110000,1196.5,5.041392685,3.077912703,92,"McCullough, William H. 1999. “The Capital and Its Society.” In The Cambridge History of Japan, edited by Donald H. Shively and William H. McCullough, 2:97–182. New York: Cambridge University Press. N: pp. 121-2; A = 9.24 sq. miles = 2393 ha, p. 102;  A = 1/2 planned, pp. 172-3."
Lagash,3000-2600 BCE,Lagash (Early Dynastic I Mesopotamia),Near East,60000,120000,90000,600,4.954242509,2.77815125,150,"McMahon, Augusta, et al. 2023. “Dense Urbanism and Economic Multi-Centrism at Third-Millennium BC Lagash.” Antiquity 97 (393): 596–615."
London I,1000-1100 CE,Norman England,Europe,10000,20000,15000,133,4.176091259,2.123851641,113,"Sheppard, Francis. 1998. London: A History. New York: Oxford University Press, 1998. p. 84 (N=10-20k), p. 37 (A=walled area of Roman Londinium, which had slightly larger population and settled area, see p. 35, Porter, Roy. 1994. London: A Social History. Cambridge: Harvard University Press, 1994. pp. 41-2."
London II,1300-1400 CE,Medieval England,Europe,,,70000,333,4.84509804,2.522444234,210,"Cesaretti, Rudolf, José Lobo, Luís M.A. Bettencourt, Scott G. Ortman, and Michael E. Smith. 2016. “Population-Area Relationship for Medieval European Cities.” PloS One 11:e0162678."
London III,1700-1800 CE,British Empire,Europe,575000,900000,737500,1615,5.867762025,3.208172527,457,"Porter, Roy. 1994. London: A Social History. Cambridge: Harvard University Press, p. 131 (N). Area estimated from 1746 map of London available at https://en.wikipedia.org/wiki/John_Rocque%27s_maps_of_London"
Loyang,25-190 CE,Eastern Han,China,264195,500000,382097.5,1010,5.582174196,3.004321374,378,"Bielenstein, Hans. 1976. “Lo-Yang in Later Han Times.” Bulletin of The Museum of Far Eastern Antiquities, no. 48, 1–142. (https://archive.org/details/bulletin-48/page/20/mode/2up)"
Memphis,2650-2350 BCE,Old Kingdom Egypt,Mediterranean,,,6000,31,3.77815125,1.491361694,194,"Mumford, Gregory D. 2010. “Settlements–Distribution, Structure, Architecture: Pharaonic.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:326–69. Maldon: Wiley-Blackwell. Table 18.1, p. 331."
Merv,1000-1100 CE,Seljuk Empire,Central Eurasia,150000,200000,175000,1000,5.243038049,3,175,"Peacock, A. C. S. 2015. The Great Seljuk Empire. Edinburgh: Edinburgh University Press, p. 302 (N). Starr, S. Frederick. 2013. Lost Enlightenment: Central Asia’s Golden Age from the Arab Conquest to Tamerlane. Princeton University Press. p. 544 note 13 (N). Williams, Tim, and Kakamurad Kurbansakhatov. 2002. “The Ancient Merv Project, Turkmenistan Preliminary Report on the First Season (2001).” Iran 40 (1): 15–41. p. 15 (A)."
Mojenodaro,2600-1800 BCE,Harrapa,India,,,41250,250,4.615423953,2.397940009,165,"Kenoyer, Jonathan M. 1998. Ancient Cities of the Indus Valley Civilization. New York: Oxford University Press: p. 50."
