Country,Year,Total_km,TFC_PJ_IEA
Dominican Republic,2021,5549,
Dominican Republic,2022,5549,
Dominican Republic,2023,5766,
"Egypt, Arab Rep.",2018,130264,2563.215947
"Egypt, Arab Rep.",2019,137764,2400.636637
"Egypt, Arab Rep.",2020,150051,2495.625922
"Egypt, Arab Rep.",2021,152680,2723.774769
"Egypt, Arab Rep.",2022,152853,2829.958566
"Egypt, Arab Rep.",2023,165521,2970.907631
Equatorial Guinea,2023,2880,
Estonia,2018,59016,126.254717
Estonia,2019,59067,123.664771
Estonia,2020,58986,121.737716
Estonia,2021,58846,123.528938
Estonia,2022,89382,119.798236
Estonia,2023,89452,113.580335
Eswatini,2018,3279,
Eswatini,2019,1500,
Ethiopia,2018,126773.4,
Ethiopia,2019,144027.8,
Ethiopia,2020,144027.8,
Ethiopia,2021,155830.1,
Ethiopia,2022,154987.04,
Ethiopia,2023,165863,
Finland,2018,77942,1080.236402
Finland,2019,77925,1071.223021
Finland,2020,77908,1010.446047
Finland,2021,77906,1063.330376
Finland,2022,77848,992.891452
Finland,2023,77804,945.434484
France,2018,1103744,6382.67234
France,2019,1103454,6314.393051
France,2020,1103800,5785.908364
France,2021,1104743,6347.358797
France,2022,1104748,5958.871913
France,2023,1118600,5700.875746
"Gambia, The",2018,1768.49,
"Gambia, The",2019,1883.88,
"Gambia, The",2020,3944.1,
"Gambia, The",2021,4498.9,
Georgia,2018,20740,
Georgia,2019,20962,
Georgia,2020,21108.9,
Georgia,2021,40044.1,
Georgia,2022,41073.3,
Georgia,2023,41097.6,
Greece,2018,117861,658.32992
Greece,2019,117873,668.409465
Greece,2020,117884,624.014811
Greece,2021,117899.1,636.779661
Greece,2022,117899.1,653.975485
Greece,2023,117899.1,642.430689
Guatemala,2018,17440.23,
Guatemala,2019,17240.18,
Guatemala,2020,17875.73,
Guatemala,2021,18152.73,
Guatemala,2022,17902.95,
Guatemala,2023,18870.99,
Guinea,2018,43301,
Guinea,2019,43301,
Guinea,2020,43310,
Guinea,2021,45300,
Guinea,2022,45300,
Guinea-Bissau,2018,4400,
Honduras,2018,16477,
Honduras,2019,16861.86,
Honduras,2020,16893,
Honduras,2021,17088,
Honduras,2022,16998.64,
Honduras,2023,17595.57,
Hungary,2018,212905.5,841.544908
Hungary,2019,213840.7,843.069924
Hungary,2020,215551.2,832.542526
Hungary,2021,216514.3,890.266486
Hungary,2022,218318.7,828.645913
Hungary,2023,220576.5,779.947823
Iceland,2018,12898,136.137503
Iceland,2019,12895,132.412252
Iceland,2020,12900.65,126.60122
Iceland,2021,12905.01,130.452046
Iceland,2022,12941.57,132.51132
Iceland,2023,12949.61,132.597961
India,2018,6215797,25695.53239
Indonesia,2018,542310,5902.542815
Indonesia,2019,544467,6018.80158
Indonesia,2020,543450,5775.179082
Indonesia,2021,546116,5980.036522
Indonesia,2022,546771,6455.206909
Indonesia,2023,543720,6736.164576
"Iran, Islamic Rep.",2018,221352,
"Iran, Islamic Rep.",2019,218112,
"Iran, Islamic Rep.",2020,220346,
"Iran, Islamic Rep.",2021,216881,
"Iran, Islamic Rep.",2022,219055,
Ireland,2018,98898,478.516058
Ireland,2019,98902,477.491063
Ireland,2020,98977,457.401524
Ireland,2021,103136,471.606394
Ireland,2022,103291,462.225454
Ireland,2023,103524,459.960031
Israel,2018,19835,650.305675
Israel,2019,20030,666.381245
Israel,2020,20247,631.719791
Israel,2021,20566,636.148593
Israel,2022,20813,666.163335
Israel,2023,21158,664.075478
Japan,2018,1225000,11953.545023
Japan,2019,1281000,11721.137761
Japan,2020,1226800,11043.359724
Japan,2021,1230388,11103.248238
Japan,2022,1231084,10789.067224
Jordan,2018,8409.5,
Jordan,2019,8558,
Jordan,2020,8657,
Jordan,2021,8672,
Jordan,2022,8513,
Jordan,2023,8631,
Kazakhstan,2018,96245.72,
Kazakhstan,2019,95629,
Kazakhstan,2020,95767.8,
Kazakhstan,2021,95443,
Kazakhstan,2022,94781.1,
Kazakhstan,2023,94901.9,
Kenya,2018,161451,667.230508
Kenya,2019,161532.9,677.186166
Kenya,2020,160140,676.331326
Kenya,2021,161833,699.678108
Kenya,2022,162055,705.207234
Kenya,2023,239121.78,714.011404
"Korea, Rep.",2018,102465,7678.317664
"Korea, Rep.",2019,103192,7674.523519
"Korea, Rep.",2020,104828,7421.353228
"Korea, Rep.",2021,105083,7762.043712
"Korea, Rep.",2022,105563,7588.182961
"Korea, Rep.",2023,107149,7284.548847
Kosovo,2018,2074.7,
Kosovo,2019,2311.7,
Kosovo,2020,2432.4,
Kosovo,2021,2432.4,
Kosovo,2022,2434,
Kosovo,2023,2434,
Kuwait,2018,7994,
Kuwait,2019,8180,
Kuwait,2020,8288,
Kuwait,2021,8369,
Kuwait,2022,8408,
Kuwait,2023,8451,
Lao PDR,2018,60340.91,
Lao PDR,2019,58264.04,
Lao PDR,2020,58286.8,
Lao PDR,2021,58575.03,
Lao PDR,2022,59645.8,
Latvia,2018,58443,172.821747
Latvia,2019,58260,168.160013
Latvia,2020,58269,163.141735
Latvia,2021,57461,171.303554
Latvia,2022,57971,164.073495
Latvia,2023,57905,162.245475
Lebanon,2018,6686,
Lebanon,2019,6686,
Lebanon,2020,6686,
Lebanon,2021,6686,
Lebanon,2022,6686,
Lebanon,2023,7000,
Liechtenstein,2018,845,
Liechtenstein,2019,845,
Liechtenstein,2020,845,
Liechtenstein,2021,845,
Liechtenstein,2022,845,
Liechtenstein,2023,845,
Lithuania,2018,85573,274.495036
Lithuania,2019,85086,277.070366
Lithuania,2020,84769,267.288017
Lithuania,2021,84893,276.358338
Lithuania,2022,84221,247.682283
Lithuania,2023,83503,245.739717
Madagascar,2018,33829,
Madagascar,2019,33859,
Madagascar,2020,33955,
Madagascar,2021,34178,
Madagascar,2022,34178,
Malaysia,2018,245667.12,
Malaysia,2019,279329.85,
Malaysia,2020,290247.4,
Malaysia,2021,340034.2,
Malaysia,2022,290168.8,
Malaysia,2023,327620.8,
Maldives,2018,90,
Mali,2018,89024,
Mali,2019,89024,
Mali,2020,89024,
Mali,2021,89024,
Mali,2022,89024,
Malta,2018,2853,
Malta,2019,2853,
Malta,2020,2853,
Malta,2021,2853,
Malta,2022,2841,
Malta,2023,2841,
Mauritania,2018,12253,
Mauritius,2018,2701,
Mauritius,2019,2772,
Mauritius,2020,2839,
Mauritius,2021,2975,
Mauritius,2022,3055,
Mauritius,2023,3129,
Mexico,2018,407958.53,4979.190573
Mexico,2019,397312.69,4958.37861
Mexico,2020,397937.62,4434.048447
Mexico,2021,401366.4,4335.532901
Mexico,2022,402621.94,4869.92541
Mexico,2023,407783.07,4828.070615
Moldova,2018,13090,
Moldova,2019,13343,
Moldova,2020,13411,
Moldova,2021,13554,
Moldova,2022,13609,
Monaco,2018,57,
Monaco,2019,57,
Monaco,2020,57,
Monaco,2021,57,
Monaco,2022,57,
Monaco,2023,57,
Mongolia,2018,111916.7,
Mongolia,2019,111916.7,
Mongolia,2020,111916.7,
Mongolia,2021,111916.7,
Mongolia,2022,111916.7,
Mongolia,2023,111916.7,
Montenegro,2018,9038,
Montenegro,2019,9249,
Montenegro,2020,9727,
Montenegro,2021,9759,
Montenegro,2022,9825,
Montenegro,2023,9912,
Morocco,2018,59084,678.16483
Morocco,2019,59134,699.683111
Morocco,2020,59134,654.499806
Morocco,2021,59134,707.292025
Morocco,2022,60473,684.882932
Morocco,2023,59639,705.116012
Mozambique,2018,30504,
Mozambique,2019,30616,
Mozambique,2020,30616,
Mozambique,2021,30616,
Mozambique,2022,30615,
Mozambique,2023,30616,
Myanmar,2018,42348,
Myanmar,2019,42178,
Myanmar,2020,42364,
Myanmar,2021,42581,
Myanmar,2022,42686,
Myanmar,2023,66017,
Namibia,2018,45054.1,
Namibia,2019,48539.7,
Namibia,2020,48539.7,
Namibia,2021,48539.7,
Namibia,2022,48539.7,
Namibia,2023,48539.7,
Nepal,2018,32879,
Nepal,2019,33244,
Nepal,2020,33716,
Nepal,2021,33716,
Nepal,2022,33996,
Nepal,2023,35809,
Netherlands,2018,185162,2417.25328
Netherlands,2019,186019,2352.942767
Netherlands,2020,186936,2290.86284
Netherlands,2021,186817,2342.068522
Netherlands,2022,187395,2071.464249
Netherlands,2023,187620,2035.215362
New Zealand,2018,95386.3,590.783932
New Zealand,2019,96681.8,605.001229
New Zealand,2020,96848,564.024406
New Zealand,2021,96963.4,559.856539
New Zealand,2022,97191.1,557.94323
New Zealand,2023,97230.8,558.382274
Nicaragua,2018,24763,
Nicaragua,2019,24769,
Nicaragua,2020,24782,
Nicaragua,2021,24781,
Nicaragua,2022,24781,
Niger,2018,36740.75,
Niger,2019,37808.5,
Niger,2020,37905.8,
Niger,2021,38208.87,
Niger,2022,38719.67,
Niger,2023,40097.98,
North Macedonia,2018,14559,
North Macedonia,2019,14475,
North Macedonia,2020,14477,
North Macedonia,2021,14410,
North Macedonia,2022,15170,
North Macedonia,2023,14902,
Norway,2018,94633.43,903.350537
Occupied Palestinian Territory,2018,3400.2,
Occupied Palestinian Territory,2019,3461,
Occupied Palestinian Territory,2020,3466,
Occupied Palestinian Territory,2021,3466,
Occupied Palestinian Territory,2022,3469,
Occupied Palestinian Territory,2023,3469,
Oman,2018,74913,
Oman,2019,75842,
Oman,2020,76359,
Oman,2021,76986,
Oman,2022,77749,
Oman,2023,,
Pakistan,2018,268935,
Pakistan,2019,270972,
Panama,2018,16525.44,
Panama,2019,17377.09,
Panama,2020,17418.95,
Panama,2021,17457.44,
Panama,2022,17564.26,
Panama,2023,17803.39,
Paraguay,2018,80126.55,
Paraguay,2019,78850,
Paraguay,2020,78621,
Paraguay,2021,78511,
Paraguay,2022,78737.04,
Paraguay,2023,78712.68,
Peru,2018,168473,
Peru,2019,168953.9,
Peru,2020,168877.7,
Peru,2021,173057.82,
Peru,2022,173784.93,
Peru,2023,174107.8,
Philippines,2018,32932.71,
Philippines,2019,33018.19,
Philippines,2020,33119.57,
Philippines,2021,34250.97,
Philippines,2022,34352.4,
Philippines,2023,35164.13,
Poland,2018,424564,3287.053791
Poland,2019,424915,3234.451288
Poland,2020,430267,3170.033715
Poland,2021,429816,3310.981512
Poland,2022,427580,3181.917943
Poland,2023,428362,3045.867567
Puerto Rico,2018,29545,
Puerto Rico,2019,29544.7,
Puerto Rico,2020,32050.51,
Puerto Rico,2021,32122,
Puerto Rico,2022,32150,
Puerto Rico,2023,32129,
Russian Federation,2018,1531564.7,
Russian Federation,2019,1542202.5,
Russian Federation,2020,1553664,
Russian Federation,2021,1566145,
Russian Federation,2022,1575251.4,
Russian Federation,2023,1579922.9,
Rwanda,2018,6655,
Rwanda,2019,6674.17,
Rwanda,2020,6674,
Rwanda,2021,6674,
Rwanda,2022,6674,
Rwanda,2023,6674,
San Marino,2018,350.3,
San Marino,2019,350.3,
San Marino,2020,350.3,
San Marino,2021,350.3,
San Marino,2022,350.3,
San Marino,2023,350.3,
Saudi Arabia,2018,124099.2,
Saudi Arabia,2019,121138.2,
Saudi Arabia,2020,125483.25,
Saudi Arabia,2021,129593.54,
Saudi Arabia,2022,121506.25,
Saudi Arabia,2023,321259.39,
Senegal,2018,46693.5,112.635462
Senegal,2019,44965.9,119.375968
Senegal,2020,47313,124.478111
Serbia,2018,44749,
Serbia,2019,44768,
Serbia,2020,44908,
Serbia,2021,45722,
Serbia,2022,45963,
Serbia,2023,46371,
Seychelles,2018,538,
Seychelles,2019,541,
Seychelles,2020,542,
Seychelles,2021,544.5,
Singapore,2018,9405,767.69295
Singapore,2019,9509,773.55115
Singapore,2020,9530,725.789597
Singapore,2021,9554,759.035983
Singapore,2022,9609,770.236691
Singapore,2023,9644,758.13112
Slovak Republic,2018,57716,491.161036
Slovak Republic,2019,57741,472.529248
Slovak Republic,2020,57801,454.989127
Slovak Republic,2021,59009,492.696716
Slovak Republic,2022,59014,462.152993
Slovak Republic,2023,58998,427.715278
Slovenia,2018,38601,213.040231
Slovenia,2019,38628.2,209.678934
Slovenia,2020,38652.49,190.680395
Slovenia,2021,38840.23,204.163796
Slovenia,2022,38968.69,202.27802
Slovenia,2023,38994.83,191.093854
Somalia,2023,21933,
South Africa,2018,750000,2802.312099
